cid,parent_cid,depth,name,mall
1230,,1,가정/요리/뷰티,국내도서
90452,1230,2,가계부,국내도서
53471,1230,2,건강요리,국내도서
53489,1230,2,결혼/가족,국내도서
53513,53489,3,가정의례,국내도서
53511,53489,3,가족관계,국내도서
53509,53489,3,결혼생활,국내도서
53510,53489,3,부부관계,국내도서
53512,53489,3,성생활,국내도서
53476,1230,2,나라별 요리,국내도서
53495,53476,3,기타국가 요리,국내도서
53493,53476,3,이탈리아 요리,국내도서
53491,53476,3,일본요리,국내도서
53492,53476,3,중국요리,국내도서
53494,53476,3,프랑스 요리,국내도서
53490,53476,3,한국요리,국내도서
53474,1230,2,다이어트 요리,국내도서
53478,1230,2,도시락,국내도서
53480,1230,2,디저트,국내도서
53485,1230,2,뜨개질/바느질/DIY,국내도서
53500,53485,3,뜨개질/퀼트/십자수/바느질,국내도서
53502,53485,3,선물포장/리본/비즈,국내도서
53503,53485,3,종이접기/종이공예,국내도서
53501,53485,3,패션/소품/DIY,국내도서
53473,1230,2,사찰요리,국내도서
53484,1230,2,살림/정리수납,국내도서
53479,1230,2,샐러드/샌드위치,국내도서
53472,1230,2,생활요리,국내도서
53482,1230,2,술/음료/차,국내도서
53497,53482,3,다도/차,국내도서
53496,53482,3,술,국내도서
53499,53482,3,음료,국내도서
53498,53482,3,커피,국내도서
53487,1230,2,원예/조경/텃밭,국내도서
53483,1230,2,음식 이야기,국내도서
53477,1230,2,이유식,국내도서
53475,1230,2,전문가/연예인/블로거 요리,국내도서
53481,1230,2,제과제빵,국내도서
53486,1230,2,집/인테리어,국내도서
90456,53486,3,인테리어,국내도서
90455,53486,3,집짓기,국내도서
53488,1230,2,패션/뷰티,국내도서
53507,53488,3,네일/페디,국내도서
53504,53488,3,메이크업,국내도서
53506,53488,3,스타일/패션,국내도서
53508,53488,3,피부미용,국내도서
53505,53488,3,헤어,국내도서
55890,,1,건강/취미/레저,국내도서
53516,55890,2,건강운동,국내도서
53537,53516,3,걷기,국내도서
53538,53516,3,기/단학,국내도서
53539,53516,3,기타운동,국내도서
53536,53516,3,요가/체조/스트레칭,국내도서
53521,55890,2,건강정보,국내도서
53562,53521,3,건강에세이/건강정보,국내도서
55182,53521,3,기타,국내도서
53558,53521,3,남성건강,국내도서
53719,53521,3,노인건강,국내도서
53560,53521,3,두뇌건강,국내도서
53561,53521,3,성클리닉,국내도서
53559,53521,3,아동건강,국내도서
53557,53521,3,여성건강,국내도서
53556,53521,3,음식과 건강,국내도서
53805,53521,3,지압/마사지,국내도서
53522,55890,2,걷기/육상스포츠,국내도서
53524,55890,2,골프,국내도서
53532,55890,2,공예,국내도서
53568,53532,3,뜨개질/퀼트/십자수/바느질,국내도서
53570,53532,3,선물포장/리본/비즈,국내도서
53571,53532,3,종이접기/종이공예,국내도서
53569,53532,3,패션/소품/DIY,국내도서
53525,55890,2,구기,국내도서
54711,53525,3,기타,국내도서
54709,53525,3,농구,국내도서
54710,53525,3,야구,국내도서
54708,53525,3,축구,국내도서
161753,55890,2,글씨 쓰기,국내도서
53528,55890,2,낚시,국내도서
53514,55890,2,다이어트,국내도서
53520,55890,2,대체의학,국내도서
53529,55890,2,등산/캠핑,국내도서
53526,55890,2,무예/무술,국내도서
53530,55890,2,바둑/장기,국내도서
53534,55890,2,반려동물,국내도서
53523,55890,2,수영/수상스포츠,국내도서
147647,55890,2,스티커북,국내도서
53527,55890,2,스포츠/레저 기타,국내도서
53567,53527,3,기타,국내도서
53566,53527,3,댄스/무용,국내도서
53565,53527,3,스키/스노보드,국내도서
53564,53527,3,인라인/자전거,국내도서
53533,55890,2,원예,국내도서
53573,53533,3,꽃꽂이,국내도서
53574,53533,3,채소재배,국내도서
53572,53533,3,화훼,국내도서
140262,55890,2,재난/생존/서바이벌,국내도서
53517,55890,2,정신건강,국내도서
53518,55890,2,질병치료와 예방,국내도서
53540,53518,3,간,국내도서
53541,53518,3,고혈압,국내도서
53552,53518,3,금연/금주/약물중독,국내도서
